kata_kunci,jenis_perkara,label
pembunuhan,Pembunuhan,Sangat Berat
membunuh,Pembunuhan,Sangat Berat
bunuh,Pembunuhan,Sangat Berat
terbunuh,Pembunuhan,Sangat Berat
pembunuh,Pembunuhan,Sangat Berat
eksekusi,Pembunuhan,Sangat Berat
menghabisi,Pembunuhan,Sangat Berat
menghilangkan,Pembunuhan,Sangat Berat
menggorok,Pembunuhan,Sangat Berat
menusuk,Pembunuhan,Sangat Berat
menembak,Pembunuhan,Sangat Berat
meracun,Pembunuhan,Sangat Berat
cekik,Pembunuhan,Sangat Berat
mencekik,Pembunuhan,Sangat Berat
gantung,Pembunuhan,Sangat Berat
membantai,Pembunuhan,Sangat Berat
jagal,Pembunuhan,Sangat Berat
pembantaian,Pembunuhan,Sangat Berat
pembunuhanberencana,Pembunuhan Berencana,Sangat Berat
berencana,Pembunuhan Berencana,Sangat Berat
pembantaianmassal,Pembunuhan Massal,Sangat Berat
genosida,Genosida,Sangat Berat
penganiayaan,Penganiayaan,Berat
aniaya,Penganiayaan,Berat
menganiaya,Penganiayaan,Berat
memukul,Penganiayaan,Berat
pukul,Penganiayaan,Berat
tampar,Penganiayaan,Ringan
menampar,Penganiayaan,Ringan
tendang,Penganiayaan,Berat
menendang,Penganiayaan,Berat
menonjok,Penganiayaan,Berat
tonjok,Penganiayaan,Berat
hajar,Penganiayaan,Berat
menghajar,Penganiayaan,Berat
luka,Penganiayaan,Berat
melukai,Penganiayaan,Berat
bacok,Penganiayaan,Sangat Berat
membacok,Penganiayaan,Sangat Berat
sayat,Penganiayaan,Berat
menyayat,Penganiayaan,Berat
kekerasan,Penganiayaan,Berat
pencurian,Pencurian,Ringan
curi,Pencurian,Ringan
mencuri,Pencurian,Ringan
pencuri,Pencurian,Ringan
maling,Pencurian,Ringan
copet,Pencurian,Ringan
mencopet,Pencurian,Ringan
jambret,Pencurian,Berat
menjambret,Pencurian,Berat
bobol,Pencurian,Berat
membobol,Pencurian,Berat
gasak,Pencurian,Berat
menggasak,Pencurian,Berat
mengutil,Pencurian,Ringan
util,Pencurian,Ringan
raib,Pencurian,Ringan
curanmor,Pencurian Kendaraan,Berat
curat,Pencurian dengan Pemberatan,Berat
curas,Pencurian dengan Kekerasan,Sangat Berat
ternak,Pencurian Ternak,Berat
ayam,Pencurian Ternak,Ringan
sapi,Pencurian Ternak,Berat
kambing,Pencurian Ternak,Berat
emas,Pencurian Emas,Berat
uang,Pencurian Uang,Ringan
sepeda,Pencurian Sepeda,Ringan
motor,Pencurian Kendaraan,Berat
mobil,Pencurian Kendaraan,Berat
sawit,Pencurian Hasil Kebun,Ringan
karet,Pencurian Hasil Kebun,Ringan
rumah,Pencurian Rumah,Berat
brankas,Pencurian Brankas,Berat
perampokan,Perampokan,Sangat Berat
rampok,Perampokan,Sangat Berat
merampok,Perampokan,Sangat Berat
perampok,Perampokan,Sangat Berat
begal,Perampokan,Sangat Berat
membegal,Perampokan,Sangat Berat
pembegalan,Perampokan,Sangat Berat
todong,Perampokan,Sangat Berat
menodong,Perampokan,Sangat Berat
rampas,Perampokan,Sangat Berat
merampas,Perampokan,Sangat Berat
pemerasan,Pemerasan,Berat
memeras,Pemerasan,Berat
peras,Pemerasan,Berat
pemeras,Pemerasan,Berat
pengancaman,Pengancaman,Berat
ancam,Pengancaman,Berat
mengancam,Pengancaman,Berat
teror,Pengancaman,Berat
